34216.txt	William Collins: The Passions.  An Ode for Music.	1746	34216	William Collins
35926.txt	Horace Twiss: The Aspirants:  an Ode for Music.	1814	35926	Horace Twiss
36947.txt	Anonymous: The Opposition Leader.	1819	36947	Anonymous
37385.txt	John Dryden: Alexander's Feast; or The Power of Musique.	1697	37385	John Dryden
37617.txt	George Steevens: Shakespeare's Feast.  An Ode.	1769	37617	George Steevens
39735.txt	David Humphreys: An Epithalamium.	1785	39735	David Humphreys
